ward,street_number,street_name,street_type,quadrant,square_suffix_lot,full_address
5,1901,H,ST,NE,4506 0151,"1901 H ST NE Washington, DC"
5,1804,BENNING,RD,NE,4507 0124,"1804 BENNING RD NE Washington, DC"
5,1809,H,ST,NE,4507 0154,"1809 H ST NE Washington, DC"
5,2948,MILLS,AVE,NE,PAR 01550235,"2948 MILLS AVE NE Washington, DC"
5,1810,RANDOLPH,ST,NE,PAR 01570091,"1810 RANDOLPH ST NE Washington, DC"
5,53,R,ST,NE,3521 0078,"53 R ST NE Washington, DC"
6,1813,WILTBERGER,ST,NW,0441 0088,"1813 WILTBERGER ST NW Washington, DC"
6,1602,6TH,ST,NW,0444 0163,"1602 6TH ST NW Washington, DC"
6,1720,NEW JERSEY,AVE,NW,0508 0072,"1720 NEW JERSEY AVE NW Washington, DC"
6,436,Q,ST,NW,0510 0159,"436 Q ST NW Washington, DC"
6,410,N,ST,NW,0513 0862,"410 N ST NW Washington, DC"
6,459,MASSACHUSETTS,AVE,NW,0516S 0027,"459 MASSACHUSETTS AVE NW Washington, DC"
6,318,M,ST,NW,0524 0801,"318 M ST NW Washington, DC"
6,1521,1ST,ST,SW,0601 0031,"1521 1ST ST SW Washington, DC"
6,1543,1ST,ST,SW,0601 0051,"1543 1ST ST SW Washington, DC"
6,48,NEW YORK,AVE,NW,0619 0025,"48 NEW YORK AVE NW Washington, DC"
6,40,K,ST,NW,0622 0049,"40 K ST NW Washington, DC"
6,1421,CARROLLSBURG,PL,SW,0655 0106,"1421 CARROLLSBURG PL SW Washington, DC"
6,1222,1ST,ST,NE,0672 0844,"1222 1ST ST NE Washington, DC"
6,510,1ST,ST,SE,0736 0096,"510 1ST ST SE Washington, DC"
6,337,H,ST,NE,0777 0052,"337 H ST NE Washington, DC"
6,310,E,ST,NE,0779 0054,"310 E ST NE Washington, DC"
6,1115,4TH,ST,NE,0805 0024,"1115 4TH ST NE Washington, DC"
