project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
Newsletter (Print and Electronic),2014-10-01 00:00:00,2015-09-30 00:00:00,9000.0,9000.0,5000,14000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=369&z=bh88,2015,29,SMS
Great American Main Street Award Application,2014-10-01 00:00:00,2015-09-30 00:00:00,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=372&z=bh88,2015,29,SMS
Shawlloween Bar Crawl,2014-10-25 00:00:00,2014-10-25 00:00:00,300.0,300.0,0,300.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=379&z=bh88,2015,29,SMS
Annual Meeting,2015-03-23 00:00:00,2015-03-27 00:00:00,1200.0,1200.0,3800,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=373&z=bh88,2015,29,SMS
Art All Night,2015-09-26 00:00:00,2015-09-27 00:00:00,6000.0,6000.0,33000,39000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=378&z=bh88,2015,29,SMS
Taste of Shaw,2015-09-01 00:00:00,2015-09-30 00:00:00,4000.0,4000.0,1000,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=377&z=bh88,2015,29,SMS
Shaw Open House,2015-06-01 00:00:00,2015-06-30 00:00:00,4000.0,4000.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=376&z=bh88,2015,29,SMS
Website Maintenance,2015-02-01 00:00:00,2015-03-31 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=375&z=bh88,2015,29,SMS
Volunteer Recruitment and Recognition Event,2015-04-01 00:00:00,2015-04-30 00:00:00,350.0,350.0,500,850.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=370&z=bh88,2015,29,SMS
Annual Holiday Party/ SMS business showcase,2014-12-01 00:00:00,2014-12-05 00:00:00,400.0,400.0,15000,15400.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=371&z=bh88,2015,29,SMS
